/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Epoch 11 | Batch 50/100 | Loss 1.033934
Epoch 11 | Batch 60/100 | Loss 1.024600
Epoch 11 | Batch 70/100 | Loss 1.033970
Epoch 11 | Batch 80/100 | Loss 1.037752
Epoch 11 | Batch 90/100 | Loss 1.028030
Epoch 12 | Batch 0/100 | Loss 1.123883
Epoch 12 | Batch 10/100 | Loss 1.006075
Epoch 12 | Batch 20/100 | Loss 1.024023
Epoch 12 | Batch 30/100 | Loss 1.030629
Epoch 12 | Batch 40/100 | Loss 1.035192
Epoch 12 | Batch 50/100 | Loss 1.029933
Epoch 12 | Batch 60/100 | Loss 1.037771
Epoch 12 | Batch 70/100 | Loss 1.033729
Epoch 12 | Batch 80/100 | Loss 1.026434
Epoch 12 | Batch 90/100 | Loss 1.027687
Epoch 13 | Batch 0/100 | Loss 0.747881
Epoch 13 | Batch 10/100 | Loss 0.966406
Epoch 13 | Batch 20/100 | Loss 1.003344
Epoch 13 | Batch 30/100 | Loss 0.989211
Epoch 13 | Batch 40/100 | Loss 0.978501
Epoch 13 | Batch 50/100 | Loss 0.980966
Epoch 13 | Batch 60/100 | Loss 0.976567
Epoch 13 | Batch 70/100 | Loss 0.987909
Epoch 13 | Batch 80/100 | Loss 1.000577
Epoch 13 | Batch 90/100 | Loss 0.997847
Epoch 14 | Batch 0/100 | Loss 1.200059
Epoch 14 | Batch 10/100 | Loss 1.082490
Epoch 14 | Batch 20/100 | Loss 1.051300
Epoch 14 | Batch 30/100 | Loss 1.019693
Epoch 14 | Batch 40/100 | Loss 1.000317
Epoch 14 | Batch 50/100 | Loss 0.995657
Epoch 14 | Batch 60/100 | Loss 0.992041
Epoch 14 | Batch 70/100 | Loss 0.982142
Epoch 14 | Batch 80/100 | Loss 0.983436
Epoch 14 | Batch 90/100 | Loss 0.974556
Epoch 15 | Batch 0/100 | Loss 0.971671
Epoch 15 | Batch 10/100 | Loss 0.967499
Epoch 15 | Batch 20/100 | Loss 1.020890
Epoch 15 | Batch 30/100 | Loss 1.049439
Epoch 15 | Batch 40/100 | Loss 1.044174
Epoch 15 | Batch 50/100 | Loss 1.041153
Epoch 15 | Batch 60/100 | Loss 1.039616
Epoch 15 | Batch 70/100 | Loss 1.025570
Epoch 15 | Batch 80/100 | Loss 1.019345
Epoch 15 | Batch 90/100 | Loss 1.021587
Epoch 16 | Batch 0/100 | Loss 0.984718
Epoch 16 | Batch 10/100 | Loss 0.938169
Epoch 16 | Batch 20/100 | Loss 0.984738
Epoch 16 | Batch 30/100 | Loss 0.967747
Epoch 16 | Batch 40/100 | Loss 0.970741
Epoch 16 | Batch 50/100 | Loss 0.991786
Epoch 16 | Batch 60/100 | Loss 1.007873
Epoch 16 | Batch 70/100 | Loss 0.993230
Epoch 16 | Batch 80/100 | Loss 0.987328
