/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Epoch 0 | Batch 0/368 | Loss 5.658066 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/368 | Loss 6.320346 | Top1 Val 0.000000 | Top1 Avg 1.136364
Epoch 0 | Batch 20/368 | Loss 6.144019 | Top1 Val 0.000000 | Top1 Avg 2.380952
Epoch 0 | Batch 30/368 | Loss 5.867872 | Top1 Val 0.000000 | Top1 Avg 1.814516
Epoch 0 | Batch 40/368 | Loss 5.709190 | Top1 Val 0.000000 | Top1 Avg 1.829268
Epoch 0 | Batch 50/368 | Loss 5.553100 | Top1 Val 0.000000 | Top1 Avg 2.328431
Epoch 0 | Batch 60/368 | Loss 5.452289 | Top1 Val 0.000000 | Top1 Avg 2.151639
Epoch 0 | Batch 70/368 | Loss 5.356351 | Top1 Val 6.250000 | Top1 Avg 2.200704
Epoch 0 | Batch 80/368 | Loss 5.298401 | Top1 Val 0.000000 | Top1 Avg 2.237654
Epoch 0 | Batch 90/368 | Loss 5.246279 | Top1 Val 0.000000 | Top1 Avg 2.060440
Epoch 0 | Batch 100/368 | Loss 5.214494 | Top1 Val 0.000000 | Top1 Avg 2.042079
Epoch 0 | Batch 110/368 | Loss 5.176920 | Top1 Val 6.250000 | Top1 Avg 2.139640
Epoch 0 | Batch 120/368 | Loss 5.149106 | Top1 Val 0.000000 | Top1 Avg 2.066116
Epoch 0 | Batch 130/368 | Loss 5.117291 | Top1 Val 6.250000 | Top1 Avg 2.051527
Epoch 0 | Batch 140/368 | Loss 5.095409 | Top1 Val 0.000000 | Top1 Avg 1.994681
Epoch 0 | Batch 150/368 | Loss 5.070584 | Top1 Val 0.000000 | Top1 Avg 1.945364
Epoch 0 | Batch 160/368 | Loss 5.035999 | Top1 Val 12.500000 | Top1 Avg 2.057453
Epoch 0 | Batch 170/368 | Loss 5.021871 | Top1 Val 0.000000 | Top1 Avg 2.083333
Epoch 0 | Batch 180/368 | Loss 4.999324 | Top1 Val 0.000000 | Top1 Avg 2.037293
Epoch 0 | Batch 190/368 | Loss 4.980127 | Top1 Val 0.000000 | Top1 Avg 1.996073
Epoch 0 | Batch 200/368 | Loss 4.962853 | Top1 Val 0.000000 | Top1 Avg 2.021144
Epoch 0 | Batch 210/368 | Loss 4.946435 | Top1 Val 0.000000 | Top1 Avg 2.014218
Epoch 0 | Batch 220/368 | Loss 4.932362 | Top1 Val 0.000000 | Top1 Avg 2.007919
Epoch 0 | Batch 230/368 | Loss 4.915735 | Top1 Val 0.000000 | Top1 Avg 2.029221
Epoch 0 | Batch 240/368 | Loss 4.903423 | Top1 Val 0.000000 | Top1 Avg 1.996888
Epoch 0 | Batch 250/368 | Loss 4.880666 | Top1 Val 6.250000 | Top1 Avg 2.041833
Epoch 0 | Batch 260/368 | Loss 4.870256 | Top1 Val 6.250000 | Top1 Avg 2.059387
Epoch 0 | Batch 270/368 | Loss 4.854480 | Top1 Val 0.000000 | Top1 Avg 2.052583
Epoch 0 | Batch 280/368 | Loss 4.840194 | Top1 Val 0.000000 | Top1 Avg 2.112989
Epoch 0 | Batch 290/368 | Loss 4.829379 | Top1 Val 0.000000 | Top1 Avg 2.147766
Epoch 0 | Batch 300/368 | Loss 4.814972 | Top1 Val 6.250000 | Top1 Avg 2.200997
Epoch 0 | Batch 310/368 | Loss 4.804079 | Top1 Val 6.250000 | Top1 Avg 2.290997
Epoch 0 | Batch 320/368 | Loss 4.794613 | Top1 Val 0.000000 | Top1 Avg 2.355919
Epoch 0 | Batch 330/368 | Loss 4.782639 | Top1 Val 6.250000 | Top1 Avg 2.341390
Epoch 0 | Batch 340/368 | Loss 4.770687 | Top1 Val 6.250000 | Top1 Avg 2.437683
Epoch 0 | Batch 350/368 | Loss 4.760974 | Top1 Val 0.000000 | Top1 Avg 2.457265
Epoch 0 | Batch 360/368 | Loss 4.752282 | Top1 Val 0.000000 | Top1 Avg 2.475762
Epoch 1 | Batch 0/368 | Loss 4.298078 | Top1 Val 0.000000 | Top1 Avg 2.457211
Epoch 1 | Batch 10/368 | Loss 4.371468 | Top1 Val 6.250000 | Top1 Avg 2.474839
Epoch 1 | Batch 20/368 | Loss 4.369076 | Top1 Val 12.500000 | Top1 Avg 2.475486
Epoch 1 | Batch 30/368 | Loss 4.329936 | Top1 Val 0.000000 | Top1 Avg 2.554459
Epoch 1 | Batch 40/368 | Loss 4.369848 | Top1 Val 6.250000 | Top1 Avg 2.537838
Epoch 1 | Batch 50/368 | Loss 4.374354 | Top1 Val 6.250000 | Top1 Avg 2.686166
Epoch 1 | Batch 60/368 | Loss 4.369233 | Top1 Val 0.000000 | Top1 Avg 2.740125
Epoch 1 | Batch 70/368 | Loss 4.370370 | Top1 Val 6.250000 | Top1 Avg 2.734653
Epoch 1 | Batch 80/368 | Loss 4.355447 | Top1 Val 6.250000 | Top1 Avg 2.868681
Epoch 1 | Batch 90/368 | Loss 4.345543 | Top1 Val 18.750000 | Top1 Avg 2.983245
Epoch 1 | Batch 100/368 | Loss 4.346732 | Top1 Val 0.000000 | Top1 Avg 3.039595
Epoch 1 | Batch 110/368 | Loss 4.342783 | Top1 Val 6.250000 | Top1 Avg 3.054432
Epoch 1 | Batch 120/368 | Loss 4.335872 | Top1 Val 6.250000 | Top1 Avg 3.081447
Epoch 1 | Batch 130/368 | Loss 4.337034 | Top1 Val 6.250000 | Top1 Avg 3.107380
Epoch 1 | Batch 140/368 | Loss 4.338159 | Top1 Val 0.000000 | Top1 Avg 3.181427
Epoch 1 | Batch 150/368 | Loss 4.334031 | Top1 Val 12.500000 | Top1 Avg 3.288760
Epoch 1 | Batch 160/368 | Loss 4.328057 | Top1 Val 6.250000 | Top1 Avg 3.415672
Epoch 1 | Batch 170/368 | Loss 4.328051 | Top1 Val 18.750000 | Top1 Avg 3.433476
Epoch 1 | Batch 180/368 | Loss 4.334171 | Top1 Val 12.500000 | Top1 Avg 3.450632
Epoch 1 | Batch 190/368 | Loss 4.336363 | Top1 Val 6.250000 | Top1 Avg 3.444805
Epoch 1 | Batch 200/368 | Loss 4.334270 | Top1 Val 0.000000 | Top1 Avg 3.461158
Epoch 1 | Batch 210/368 | Loss 4.336516 | Top1 Val 6.250000 | Top1 Avg 3.444552
Epoch 1 | Batch 220/368 | Loss 4.332307 | Top1 Val 0.000000 | Top1 Avg 3.481584
Epoch 1 | Batch 230/368 | Loss 4.333753 | Top1 Val 0.000000 | Top1 Avg 3.475629
Epoch 1 | Batch 240/368 | Loss 4.325455 | Top1 Val 18.750000 | Top1 Avg 3.562263
Epoch 1 | Batch 250/368 | Loss 4.324698 | Top1 Val 6.250000 | Top1 Avg 3.595596
Epoch 1 | Batch 260/368 | Loss 4.328596 | Top1 Val 0.000000 | Top1 Avg 3.558294
Epoch 1 | Batch 270/368 | Loss 4.327342 | Top1 Val 6.250000 | Top1 Avg 3.561295
Epoch 1 | Batch 280/368 | Loss 4.327141 | Top1 Val 12.500000 | Top1 Avg 3.573837
Epoch 1 | Batch 290/368 | Loss 4.323291 | Top1 Val 0.000000 | Top1 Avg 3.576511
Epoch 1 | Batch 300/368 | Loss 4.325122 | Top1 Val 6.250000 | Top1 Avg 3.607140
Epoch 1 | Batch 310/368 | Loss 4.324237 | Top1 Val 0.000000 | Top1 Avg 3.646073
Epoch 1 | Batch 320/368 | Loss 4.322725 | Top1 Val 0.000000 | Top1 Avg 3.656655
Epoch 1 | Batch 330/368 | Loss 4.319698 | Top1 Val 6.250000 | Top1 Avg 3.684822
Epoch 1 | Batch 340/368 | Loss 4.315791 | Top1 Val 6.250000 | Top1 Avg 3.694560
Epoch 1 | Batch 350/368 | Loss 4.314582 | Top1 Val 6.250000 | Top1 Avg 3.730110
Epoch 1 | Batch 360/368 | Loss 4.316457 | Top1 Val 0.000000 | Top1 Avg 3.713232
Epoch 2 | Batch 0/368 | Loss 4.168983 | Top1 Val 0.000000 | Top1 Avg 3.716274
Epoch 2 | Batch 10/368 | Loss 4.200571 | Top1 Val 0.000000 | Top1 Avg 3.783693
Epoch 2 | Batch 20/368 | Loss 4.163080 | Top1 Val 0.000000 | Top1 Avg 3.791508
Epoch 2 | Batch 30/368 | Loss 4.165293 | Top1 Val 12.500000 | Top1 Avg 3.823577
Epoch 2 | Batch 40/368 | Loss 4.189887 | Top1 Val 0.000000 | Top1 Avg 3.838725
Epoch 2 | Batch 50/368 | Loss 4.200696 | Top1 Val 6.250000 | Top1 Avg 3.877324
Epoch 2 | Batch 60/368 | Loss 4.199181 | Top1 Val 6.250000 | Top1 Avg 3.907108
Epoch 2 | Batch 70/368 | Loss 4.202983 | Top1 Val 6.250000 | Top1 Avg 3.912909
Epoch 2 | Batch 80/368 | Loss 4.201440 | Top1 Val 0.000000 | Top1 Avg 3.918567
Epoch 2 | Batch 90/368 | Loss 4.190080 | Top1 Val 12.500000 | Top1 Avg 3.961893
Epoch 2 | Batch 100/368 | Loss 4.199108 | Top1 Val 0.000000 | Top1 Avg 3.966831
Epoch 2 | Batch 110/368 | Loss 4.194801 | Top1 Val 6.250000 | Top1 Avg 3.986417
Epoch 2 | Batch 120/368 | Loss 4.193851 | Top1 Val 18.750000 | Top1 Avg 4.042025
Epoch 2 | Batch 130/368 | Loss 4.185508 | Top1 Val 6.250000 | Top1 Avg 4.103563
Epoch 2 | Batch 140/368 | Loss 4.174252 | Top1 Val 6.250000 | Top1 Avg 4.128048
Epoch 2 | Batch 150/368 | Loss 4.176544 | Top1 Val 0.000000 | Top1 Avg 4.123784
Epoch 2 | Batch 160/368 | Loss 4.187197 | Top1 Val 6.250000 | Top1 Avg 4.105674
Epoch 2 | Batch 170/368 | Loss 4.186042 | Top1 Val 0.000000 | Top1 Avg 4.136219
Epoch 2 | Batch 180/368 | Loss 4.201007 | Top1 Val 12.500000 | Top1 Avg 4.138824
Epoch 2 | Batch 190/368 | Loss 4.191467 | Top1 Val 12.500000 | Top1 Avg 4.175098
Epoch 2 | Batch 200/368 | Loss 4.189610 | Top1 Val 6.250000 | Top1 Avg 4.223942
Epoch 2 | Batch 210/368 | Loss 4.186284 | Top1 Val 6.250000 | Top1 Avg 4.251948
Epoch 2 | Batch 220/368 | Loss 4.180791 | Top1 Val 6.250000 | Top1 Avg 4.285901
Epoch 2 | Batch 230/368 | Loss 4.179088 | Top1 Val 6.250000 | Top1 Avg 4.312686
Epoch 2 | Batch 240/368 | Loss 4.177297 | Top1 Val 12.500000 | Top1 Avg 4.326123
Epoch 2 | Batch 250/368 | Loss 4.181292 | Top1 Val 0.000000 | Top1 Avg 4.345623
Epoch 2 | Batch 260/368 | Loss 4.185584 | Top1 Val 0.000000 | Top1 Avg 4.333375
Epoch 2 | Batch 270/368 | Loss 4.180947 | Top1 Val 12.500000 | Top1 Avg 4.383460
Epoch 2 | Batch 280/368 | Loss 4.176877 | Top1 Val 18.750000 | Top1 Avg 4.420263
Epoch 2 | Batch 290/368 | Loss 4.176941 | Top1 Val 6.250000 | Top1 Avg 4.462438
Epoch 2 | Batch 300/368 | Loss 4.174229 | Top1 Val 12.500000 | Top1 Avg 4.473652
Epoch 2 | Batch 310/368 | Loss 4.176266 | Top1 Val 0.000000 | Top1 Avg 4.478681
Epoch 2 | Batch 320/368 | Loss 4.173885 | Top1 Val 6.250000 | Top1 Avg 4.513191
Epoch 2 | Batch 330/368 | Loss 4.174575 | Top1 Val 6.250000 | Top1 Avg 4.535333
Epoch 2 | Batch 340/368 | Loss 4.174217 | Top1 Val 6.250000 | Top1 Avg 4.528039
Epoch 2 | Batch 350/368 | Loss 4.173334 | Top1 Val 12.500000 | Top1 Avg 4.532382
Epoch 2 | Batch 360/368 | Loss 4.173054 | Top1 Val 18.750000 | Top1 Avg 4.570842
Epoch 3 | Batch 0/368 | Loss 4.246755 | Top1 Val 0.000000 | Top1 Avg 4.572463
Epoch 3 | Batch 10/368 | Loss 4.003795 | Top1 Val 6.250000 | Top1 Avg 4.593124
Epoch 3 | Batch 20/368 | Loss 4.000169 | Top1 Val 6.250000 | Top1 Avg 4.630093
Epoch 3 | Batch 30/368 | Loss 4.011925 | Top1 Val 6.250000 | Top1 Avg 4.671919
Epoch 3 | Batch 40/368 | Loss 4.053572 | Top1 Val 18.750000 | Top1 Avg 4.702092
Epoch 3 | Batch 50/368 | Loss 4.054152 | Top1 Val 12.500000 | Top1 Avg 4.720914
Epoch 3 | Batch 60/368 | Loss 4.067626 | Top1 Val 6.250000 | Top1 Avg 4.744780
Epoch 3 | Batch 70/368 | Loss 4.058172 | Top1 Val 6.250000 | Top1 Avg 4.784205
Epoch 3 | Batch 80/368 | Loss 4.073287 | Top1 Val 0.000000 | Top1 Avg 4.786027
Epoch 3 | Batch 90/368 | Loss 4.065490 | Top1 Val 6.250000 | Top1 Avg 4.808749
Epoch 3 | Batch 100/368 | Loss 4.050845 | Top1 Val 18.750000 | Top1 Avg 4.836282
Epoch 3 | Batch 110/368 | Loss 4.047642 | Top1 Val 0.000000 | Top1 Avg 4.858216
Epoch 3 | Batch 120/368 | Loss 4.036479 | Top1 Val 18.750000 | Top1 Avg 4.874687
Epoch 3 | Batch 130/368 | Loss 4.045609 | Top1 Val 0.000000 | Top1 Avg 4.906081
Epoch 3 | Batch 140/368 | Loss 4.044586 | Top1 Val 0.000000 | Top1 Avg 4.926925
Epoch 3 | Batch 150/368 | Loss 4.045155 | Top1 Val 6.250000 | Top1 Avg 4.957401
Epoch 3 | Batch 160/368 | Loss 4.043745 | Top1 Val 12.500000 | Top1 Avg 4.962681
Epoch 3 | Batch 170/368 | Loss 4.040350 | Top1 Val 25.000000 | Top1 Avg 5.021823
Epoch 3 | Batch 180/368 | Loss 4.038558 | Top1 Val 6.250000 | Top1 Avg 5.041117
Epoch 3 | Batch 190/368 | Loss 4.036937 | Top1 Val 6.250000 | Top1 Avg 5.064941
Epoch 3 | Batch 200/368 | Loss 4.036969 | Top1 Val 6.250000 | Top1 Avg 5.107566
Epoch 3 | Batch 210/368 | Loss 4.037397 | Top1 Val 12.500000 | Top1 Avg 5.121012
Epoch 3 | Batch 220/368 | Loss 4.042464 | Top1 Val 6.250000 | Top1 Avg 5.124817
Epoch 3 | Batch 230/368 | Loss 4.052574 | Top1 Val 6.250000 | Top1 Avg 5.147300
Epoch 3 | Batch 240/368 | Loss 4.054324 | Top1 Val 18.750000 | Top1 Avg 5.160151
Epoch 3 | Batch 250/368 | Loss 4.056887 | Top1 Val 6.250000 | Top1 Avg 5.177426
Epoch 3 | Batch 260/368 | Loss 4.059332 | Top1 Val 0.000000 | Top1 Avg 5.208190
Epoch 3 | Batch 270/368 | Loss 4.059622 | Top1 Val 6.250000 | Top1 Avg 5.211223
Epoch 3 | Batch 280/368 | Loss 4.050930 | Top1 Val 12.500000 | Top1 Avg 5.250327
Epoch 3 | Batch 290/368 | Loss 4.051100 | Top1 Val 0.000000 | Top1 Avg 5.253014
Epoch 3 | Batch 300/368 | Loss 4.049191 | Top1 Val 12.500000 | Top1 Avg 5.282364
Epoch 3 | Batch 310/368 | Loss 4.049680 | Top1 Val 12.500000 | Top1 Avg 5.302461
Epoch 3 | Batch 320/368 | Loss 4.052012 | Top1 Val 25.000000 | Top1 Avg 5.317889
Epoch 3 | Batch 330/368 | Loss 4.058094 | Top1 Val 0.000000 | Top1 Avg 5.315673
Epoch 3 | Batch 340/368 | Loss 4.053899 | Top1 Val 6.250000 | Top1 Avg 5.326468
Epoch 3 | Batch 350/368 | Loss 4.052987 | Top1 Val 6.250000 | Top1 Avg 5.337115
Epoch 3 | Batch 360/368 | Loss 4.051158 | Top1 Val 18.750000 | Top1 Avg 5.364688
Epoch 4 | Batch 0/368 | Loss 3.943399 | Top1 Val 12.500000 | Top1 Avg 5.387163
Epoch 4 | Batch 10/368 | Loss 3.985027 | Top1 Val 6.250000 | Top1 Avg 5.401417
Epoch 4 | Batch 20/368 | Loss 3.908356 | Top1 Val 0.000000 | Top1 Avg 5.415480
Epoch 4 | Batch 30/368 | Loss 3.928057 | Top1 Val 0.000000 | Top1 Avg 5.437677
Epoch 4 | Batch 40/368 | Loss 3.955377 | Top1 Val 0.000000 | Top1 Avg 5.443048
Epoch 4 | Batch 50/368 | Loss 3.983691 | Top1 Val 6.250000 | Top1 Avg 5.440138
