/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Epoch 11 | Batch 50/100 | Loss 0.129569
Epoch 11 | Batch 60/100 | Loss 0.129676
Epoch 11 | Batch 70/100 | Loss 0.129385
Epoch 11 | Batch 80/100 | Loss 0.129246
Epoch 11 | Batch 90/100 | Loss 0.129299
Epoch 12 | Batch 0/100 | Loss 0.140297
Epoch 12 | Batch 10/100 | Loss 0.127466
Epoch 12 | Batch 20/100 | Loss 0.128907
Epoch 12 | Batch 30/100 | Loss 0.129654
Epoch 12 | Batch 40/100 | Loss 0.128750
Epoch 12 | Batch 50/100 | Loss 0.127716
Epoch 12 | Batch 60/100 | Loss 0.126673
Epoch 12 | Batch 70/100 | Loss 0.126886
Epoch 12 | Batch 80/100 | Loss 0.126427
Epoch 12 | Batch 90/100 | Loss 0.126989
Epoch 13 | Batch 0/100 | Loss 0.129405
Epoch 13 | Batch 10/100 | Loss 0.129498
Epoch 13 | Batch 20/100 | Loss 0.128433
Epoch 13 | Batch 30/100 | Loss 0.128176
Epoch 13 | Batch 40/100 | Loss 0.128031
Epoch 13 | Batch 50/100 | Loss 0.127325
Epoch 13 | Batch 60/100 | Loss 0.125896
Epoch 13 | Batch 70/100 | Loss 0.126667
Epoch 13 | Batch 80/100 | Loss 0.127086
Epoch 13 | Batch 90/100 | Loss 0.127099
Epoch 14 | Batch 0/100 | Loss 0.146536
Epoch 14 | Batch 10/100 | Loss 0.126391
Epoch 14 | Batch 20/100 | Loss 0.125456
Epoch 14 | Batch 30/100 | Loss 0.126198
Epoch 14 | Batch 40/100 | Loss 0.124943
Epoch 14 | Batch 50/100 | Loss 0.124743
Epoch 14 | Batch 60/100 | Loss 0.125236
Epoch 14 | Batch 70/100 | Loss 0.124591
Epoch 14 | Batch 80/100 | Loss 0.124199
